id_fixture,date_match,id_team_home,id_team_away,gol_home_stat,gol_away_stat,gol_home_match,gol_away_match
573167,2020-09-12T19:00:00+00:00,415,205,2.0,0.0,,
573172,2020-09-13T14:45:00+00:00,417,200,0.0,1.0,,
573170,2020-09-13T12:30:00+00:00,206,198,2.0,0.0,,
573169,2020-09-13T12:30:00+00:00,426,194,0.0,1.0,,
872224,2022-08-05T18:00:00+00:00,210,426,0.0,0.0,,
1378969,2025-08-15T19:00:00+00:00,40,35,4.0,2.0,,
718358,2021-08-08T13:00:00+00:00,1063,97,1.0,1.0,,
573171,2020-09-13T14:45:00+00:00,202,197,1.0,3.0,,
872228,2022-08-06T19:00:00+00:00,417,207,2.0,2.0,,
1390819,2025-08-16T19:30:00+00:00,542,539,2.0,1.0,,
1390821,2025-08-17T15:00:00+00:00,538,546,0.0,2.0,,
1390820,2025-08-17T17:30:00+00:00,531,536,3.0,2.0,,
1390823,2025-08-17T19:30:00+00:00,540,530,2.0,1.0,,
1378970,2025-08-16T11:30:00+00:00,66,34,0.0,0.0,,
1378974,2025-08-16T14:00:00+00:00,47,44,3.0,0.0,,
1378971,2025-08-16T14:00:00+00:00,51,36,1.0,1.0,,
1378973,2025-08-16T14:00:00+00:00,746,48,3.0,0.0,,
1378975,2025-08-16T16:30:00+00:00,39,50,0.0,4.0,,
1378976,2025-08-17T13:00:00+00:00,49,52,0.0,0.0,,
1378972,2025-08-17T13:00:00+00:00,65,55,3.0,1.0,,
1378977,2025-08-17T15:30:00+00:00,33,42,0.0,1.0,,
1396240,2025-08-08T19:15:00+00:00,4716,228,0.0,2.0,,
1396245,2025-08-09T14:30:00+00:00,225,762,0.0,2.0,,
1396237,2025-08-09T19:30:00+00:00,240,21595,3.0,1.0,,
1396242,2025-08-10T16:00:00+00:00,242,227,3.0,0.0,,
1396244,2025-08-10T19:30:00+00:00,215,4724,2.0,1.0,,
1396239,2025-08-10T19:30:00+00:00,217,218,3.0,0.0,,
1396241,2025-08-11T17:45:00+00:00,230,15130,1.0,1.0,,
1396243,2025-08-11T19:45:00+00:00,212,224,3.0,0.0,,
707187,2021-08-15T14:45:00+00:00,195,209,0.0,4.0,,
1394436,2025-08-08T18:30:00+00:00,3573,645,0.0,3.0,,
1394440,2025-08-09T16:00:00+00:00,3603,997,2.0,1.0,,
1394433,2025-08-09T18:30:00+00:00,1005,1004,2.0,1.0,,
1394439,2025-08-10T16:00:00+00:00,1007,994,0.0,3.0,,
1394434,2025-08-10T18:30:00+00:00,3588,607,1.0,4.0,,
1394441,2025-08-11T18:30:00+00:00,998,7411,1.0,0.0,,
1398969,2025-08-16T13:00:00+00:00,1242,1280,4.0,3.0,,
1398971,2025-08-16T13:00:00+00:00,1249,3911,4.0,0.0,,
1398972,2025-08-16T13:15:00+00:00,1252,1272,0.0,2.0,,
1398973,2025-08-16T13:30:00+00:00,1237,1276,0.0,1.0,,
1398968,2025-08-16T13:30:00+00:00,9130,1278,1.0,3.0,,
1398974,2025-08-16T16:00:00+00:00,1277,1238,1.0,0.0,,
1390822,2025-08-18T19:00:00+00:00,797,543,1.0,1.0,,
1378978,2025-08-18T19:00:00+00:00,63,45,1.0,0.0,,
1377871,2025-08-23T18:45:00+00:00,497,500,1.0,0.0,,
1390826,2025-08-19T19:00:00+00:00,541,727,1.0,0.0,,
1388312,2025-08-23T13:30:00+00:00,160,170,1.0,3.0,,
1388309,2025-08-23T13:30:00+00:00,168,167,1.0,2.0,,
1388311,2025-08-23T13:30:00+00:00,169,162,4.0,1.0,,
573165,2020-09-12T16:45:00+00:00,210,195,2.0,0.0,,
1388313,2025-08-23T13:30:00+00:00,180,161,1.0,3.0,,
1388316,2025-08-23T13:30:00+00:00,182,172,2.0,1.0,,
1388315,2025-08-23T16:30:00+00:00,186,165,3.0,3.0,,
1388314,2025-08-24T13:30:00+00:00,164,192,0.0,1.0,,
